Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,3435,2716,47,52166.921875,0.000901
2,1000,0.2,0.2,50.0,1000,3279,2643,35,49494.054688,0.000707
3,1000,0.2,0.2,50.0,1000,3282,2612,58,50400.367188,0.001151
4,1000,0.2,0.2,50.0,1000,3375,2696,44,51260.656250,0.000858
5,1000,0.2,0.2,50.0,1000,3274,2669,38,49388.226562,0.000769
6,1000,0.2,0.2,50.0,1000,3359,2693,39,50968.964844,0.000765
7,1000,0.2,0.2,50.0,1000,3333,2626,44,50628.109375,0.000869
8,1000,0.2,0.2,50.0,1000,3335,2707,39,50427.234375,0.000773
9,1000,0.2,0.2,50.0,1000,3220,2558,40,48697.804688,0.000821
10,1000,0.2,0.2,50.0,1000,3417,2703,36,51575.328125,0.000698
