Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4895,1011,115,51921.660156,0.002215
2,1000,0.8,0.2,50.0,1000,5297,1058,145,50701.390625,0.002860
3,1000,0.8,0.2,50.0,1000,5102,1036,145,48773.585938,0.002973
4,1000,0.8,0.2,50.0,1000,5500,1167,160,50946.292969,0.003141
5,1000,0.8,0.2,50.0,1000,5569,1133,147,50391.234375,0.002917
6,1000,0.8,0.2,50.0,1000,5258,1051,160,50245.765625,0.003184
7,1000,0.8,0.2,50.0,1000,5412,1074,134,48836.515625,0.002744
8,1000,0.8,0.2,50.0,1000,6101,1236,158,50118.914062,0.003153
9,1000,0.8,0.2,50.0,1000,4872,947,135,48200.699219,0.002801
10,1000,0.8,0.2,50.0,1000,5062,1012,114,50586.042969,0.002254
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4895,1011,115,51921.660156,0.002215
2,1000,0.8,0.2,50.0,1000,5297,1058,145,50701.390625,0.002860
3,1000,0.8,0.2,50.0,1000,5102,1036,145,48773.585938,0.002973
4,1000,0.8,0.2,50.0,1000,5500,1167,160,50946.292969,0.003141
5,1000,0.8,0.2,50.0,1000,5569,1133,147,50391.234375,0.002917
6,1000,0.8,0.2,50.0,1000,5258,1051,160,50245.765625,0.003184
7,1000,0.8,0.2,50.0,1000,5412,1074,134,48836.515625,0.002744
8,1000,0.8,0.2,50.0,1000,6101,1236,158,50118.914062,0.003153
9,1000,0.8,0.2,50.0,1000,4872,947,135,48200.699219,0.002801
10,1000,0.8,0.2,50.0,1000,5062,1012,114,50586.042969,0.002254
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4895,1011,115,51921.660156,0.002215
2,1000,0.8,0.2,50.0,1000,5297,1058,145,50701.390625,0.002860
3,1000,0.8,0.2,50.0,1000,5102,1036,145,48773.585938,0.002973
4,1000,0.8,0.2,50.0,1000,5500,1167,160,50946.292969,0.003141
5,1000,0.8,0.2,50.0,1000,5569,1133,147,50391.234375,0.002917
6,1000,0.8,0.2,50.0,1000,5258,1051,160,50245.765625,0.003184
7,1000,0.8,0.2,50.0,1000,5412,1074,134,48836.515625,0.002744
8,1000,0.8,0.2,50.0,1000,6101,1236,158,50118.914062,0.003153
9,1000,0.8,0.2,50.0,1000,4872,947,135,48200.699219,0.002801
10,1000,0.8,0.2,50.0,1000,5062,1012,114,50586.042969,0.002254
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4895,1011,115,51921.660156,0.002215
2,1000,0.8,0.2,50.0,1000,5297,1058,145,50701.390625,0.002860
3,1000,0.8,0.2,50.0,1000,5102,1036,145,48773.585938,0.002973
4,1000,0.8,0.2,50.0,1000,5500,1167,160,50946.292969,0.003141
5,1000,0.8,0.2,50.0,1000,5569,1133,147,50391.234375,0.002917
6,1000,0.8,0.2,50.0,1000,5258,1051,160,50245.765625,0.003184
7,1000,0.8,0.2,50.0,1000,5412,1074,134,48836.515625,0.002744
8,1000,0.8,0.2,50.0,1000,6101,1236,158,50118.914062,0.003153
9,1000,0.8,0.2,50.0,1000,4872,947,135,48200.699219,0.002801
10,1000,0.8,0.2,50.0,1000,5062,1012,114,50586.042969,0.002254
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,4895,1011,115,51921.660156,0.002215
2,1000,0.8,0.2,50.0,1000,5297,1058,145,50701.390625,0.002860
3,1000,0.8,0.2,50.0,1000,5102,1036,145,48773.585938,0.002973
4,1000,0.8,0.2,50.0,1000,5500,1167,160,50946.292969,0.003141
5,1000,0.8,0.2,50.0,1000,5569,1133,147,50391.234375,0.002917
6,1000,0.8,0.2,50.0,1000,5258,1051,160,50245.765625,0.003184
7,1000,0.8,0.2,50.0,1000,5412,1074,134,48836.515625,0.002744
8,1000,0.8,0.2,50.0,1000,6101,1236,158,50118.914062,0.003153
9,1000,0.8,0.2,50.0,1000,4872,947,135,48200.699219,0.002801
10,1000,0.8,0.2,50.0,1000,5062,1012,114,50586.042969,0.002254
