Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,3485,1744,4,51055.835938,0.000078
2,1000,0.5,0.2,50.0,1000,3645,1822,2,50450.046875,0.000040
3,1000,0.5,0.2,50.0,1000,3568,1751,1,50653.089844,0.000020
4,1000,0.5,0.2,50.0,1000,3461,1780,1,51764.394531,0.000019
5,1000,0.5,0.2,50.0,1000,3461,1707,2,49520.453125,0.000040
6,1000,0.5,0.2,50.0,1000,3459,1743,2,50636.070312,0.000039
7,1000,0.5,0.2,50.0,1000,3588,1782,5,50293.449219,0.000099
8,1000,0.5,0.2,50.0,1000,3499,1744,1,50360.515625,0.000020
9,1000,0.5,0.2,50.0,1000,3372,1657,2,47193.839844,0.000042
10,1000,0.5,0.2,50.0,1000,3664,1806,2,50881.019531,0.000039
